	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0010905"	7.30	16.85	22.11	5.43	7.31	4.24	23.88	14.94	23.80	5.07	5.01	5.78	7.81	12.06	16.35
"FBgn0010909"	33.01	44.61	51.45	29.58	33.49	24.40	66.62	52.58	61.32	29.42	24.09	26.81	29.14	26.90	42.35
"FBgn0010926"	41.11	45.21	56.92	44.01	46.04	42.94	71.10	59.10	64.86	40.55	30.55	36.35	38.17	26.40	50.47
"FBgn0011016"	334.44	277.42	265.10	394.68	358.94	405.33	86.30	76.84	83.22	376.91	418.87	413.38	367.84	344.44	269.84
"FBgn0011020"	14.91	15.65	15.64	21.88	20.75	23.75	0.63	0.38	0.80	10.39	10.25	11.49	11.54	17.37	17.04
"FBgn0011202"	8.91	12.48	15.21	8.42	9.51	8.05	9.80	7.68	8.91	5.65	6.09	6.30	7.95	8.38	12.61
"FBgn0011204"	154.72	169.90	191.29	177.68	188.96	181.64	197.56	163.97	188.93	142.02	134.33	143.62	148.97	132.28	173.55
"FBgn0011205"	61.14	60.90	63.48	66.45	68.86	70.36	93.15	83.65	90.54	67.41	63.15	64.66	60.56	40.56	72.73
"FBgn0011206"	0.88	1.05	0.87	1.36	1.51	1.12	1.38	1.85	1.63	1.00	1.19	0.97	2.52	2.31	2.66
"FBgn0011207"	93.52	96.45	88.02	101.20	105.73	100.76	12.39	9.76	11.83	80.59	89.54	89.50	84.09	98.70	83.30
"FBgn0011211"	406.97	474.72	514.38	489.57	469.94	532.13	250.42	192.02	254.44	317.34	370.54	380.71	407.18	429.40	432.83
"FBgn0011217"	905.53	772.48	692.40	903.64	887.08	866.94	981.15	1151.65	1024.78	965.02	847.08	888.76	1005.43	1003.82	1014.63
"FBgn0011224"	71.60	82.21	86.21	76.74	83.38	73.06	118.62	92.75	109.17	66.35	55.71	67.03	68.98	61.65	91.45
"FBgn0011225"	10.21	12.12	13.12	14.51	14.85	15.64	0.56	0.44	0.85	7.83	7.88	8.11	8.83	11.61	12.72
"FBgn0011227"	343.27	252.49	216.20	313.23	288.49	329.45	292.43	441.38	369.18	432.64	466.59	403.05	283.12	291.60	197.25
"FBgn0011230"	4.71	12.53	16.97	4.58	5.33	4.05	10.78	6.12	9.80	2.75	2.79	3.18	2.64	4.26	8.20
"FBgn0011232"	26.41	27.61	31.73	32.20	31.59	32.08	3.74	2.28	4.24	22.03	20.16	23.08	22.75	27.98	31.01
"FBgn0011236"	12.11	13.48	15.77	18.07	17.45	18.36	0.47	0.25	0.34	10.67	9.11	10.09	12.27	14.42	14.79
"FBgn0011239"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011244"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
"FBgn0011259"	1.80	3.58	3.24	1.76	1.98	1.43	3.33	2.54	3.32	1.36	1.23	1.35	2.09	3.49	5.42
"FBgn0011260"	54.52	65.30	68.31	51.67	55.44	49.33	112.24	83.38	95.49	52.50	37.59	44.22	37.02	28.92	56.28
"FBgn0011270"	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00
"FBgn0011272"	1625.15	1442.56	1320.38	1553.31	1504.31	1684.39	1675.15	2087.87	1864.58	2064.30	2327.47	1851.71	2165.60	1812.70	1158.71
"FBgn0011273"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011274"	0.06	0.05	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.00	0.00	0.03	0.03	0.00	0.04
"FBgn0011276"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011277"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011278"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011279"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011280"	0.00	0.00	0.00	0.12	0.00	0.00	0.17	0.16	0.16	0.29	0.76	0.82	0.14	0.15	0.00
"FBgn0011281"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011282"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011283"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011284"	2991.00	2695.01	2542.18	2340.31	2301.72	2597.34	3920.92	4374.98	4167.14	3062.83	3306.34	3202.33	3488.74	3415.48	2494.63
"FBgn0011286"	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00
"FBgn0011288"	0.00	0.00	0.00	0.05	0.02	0.05	0.07	0.00	0.00	0.03	0.03	0.00	0.06	0.03	0.00
"FBgn0011289"	159.82	141.68	140.53	171.72	167.82	170.99	188.90	195.37	177.10	169.33	176.57	164.16	156.71	125.71	151.92
"FBgn0011290"	141.97	129.28	123.43	157.34	148.94	158.64	185.70	197.88	186.17	148.20	151.50	144.23	160.74	142.03	137.44
"FBgn0011291"	109.16	96.49	80.96	100.07	101.00	105.03	118.24	159.29	137.48	121.21	129.05	108.28	124.54	124.43	103.90
"FBgn0011293"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011294"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011296"	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12	0.00
"FBgn0011297"	19.41	18.67	19.66	26.90	26.40	29.25	5.03	3.89	4.75	15.25	19.38	19.45	12.58	15.05	12.44
"FBgn0011300"	17.73	21.91	23.54	15.75	16.24	13.39	3.02	1.40	2.74	12.43	11.10	15.11	13.16	15.97	19.46
"FBgn0011305"	59.38	58.88	59.26	49.75	52.26	50.01	73.04	90.62	76.23	57.19	64.44	60.17	63.19	61.74	47.51
"FBgn0011327"	227.74	213.08	202.50	268.40	259.00	277.86	308.62	337.31	292.47	228.23	250.56	238.73	236.19	212.83	261.06
"FBgn0011335"	88.32	80.79	74.78	95.36	94.81	92.12	121.06	133.79	121.36	92.73	90.27	96.81	97.71	85.34	95.51
"FBgn0011336"	37.59	37.15	38.23	47.13	44.16	48.25	15.39	9.93	15.57	27.13	33.72	38.54	27.72	24.33	31.70
"FBgn0011361"	595.14	451.48	391.87	529.26	495.38	523.97	221.73	256.88	244.27	716.45	737.79	711.23	727.16	717.73	521.06
"FBgn0011455"	308.87	269.24	239.56	315.67	302.55	331.13	325.54	403.43	349.53	382.31	431.01	391.61	383.53	338.49	280.70
"FBgn0011474"	43.32	63.37	73.30	41.42	47.68	38.33	36.02	22.07	34.93	28.38	27.75	34.34	35.70	36.79	62.54
"FBgn0011476"	92.30	86.62	60.86	100.24	87.18	96.39	58.52	60.13	53.41	137.73	125.66	126.64	143.11	140.69	90.14
"FBgn0011481"	58.06	72.09	75.99	49.08	56.46	47.23	98.51	83.03	94.69	59.09	53.36	56.25	59.41	55.05	78.10
"FBgn0011509"	152.05	121.49	109.28	152.06	145.89	154.15	159.98	175.96	164.53	174.56	165.07	154.62	177.18	156.88	134.10
"FBgn0011554"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011555"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00
"FBgn0011556"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011559"	0.20	0.15	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.43	0.17	0.35	0.49	0.28	0.00
"FBgn0011566"	21.76	23.68	22.52	32.89	26.29	34.00	0.82	0.45	0.97	19.67	21.66	20.69	23.77	29.28	22.61
"FBgn0011569"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.05	0.00	0.02
"FBgn0011570"	130.37	137.74	134.88	128.56	129.62	136.84	64.18	50.51	61.32	122.72	118.77	124.30	140.60	154.87	146.44
"FBgn0011573"	152.14	141.48	145.25	134.75	128.26	136.42	137.81	138.44	138.47	145.62	142.94	151.22	137.50	135.89	135.19
"FBgn0011576"	0.00	0.02	0.00	0.05	0.00	0.00	0.05	0.00	0.15	0.00	0.00	0.05	0.05	0.00	0.04
"FBgn0011581"	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
"FBgn0011582"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011584"	76.81	72.61	66.72	70.45	73.83	71.98	60.09	60.29	54.93	78.35	70.38	76.47	75.24	70.89	82.18
"FBgn0011586"	363.65	314.74	276.42	273.97	258.62	254.26	410.87	483.36	422.65	414.18	369.56	377.30	441.71	441.97	385.55
"FBgn0011589"	0.00	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.03	0.00
"FBgn0011591"	0.12	0.06	0.00	0.18	0.08	0.03	0.00	0.00	0.00	0.07	0.11	0.10	0.00	0.00	0.08
"FBgn0011592"	4.37	7.06	8.41	2.57	3.54	2.21	13.19	8.67	11.50	4.28	2.38	2.91	3.70	3.84	7.79
"FBgn0011596"	0.06	0.05	0.00	0.05	0.02	0.03	0.03	0.06	0.03	0.00	0.00	0.00	0.00	0.03	0.00
"FBgn0011603"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011604"	65.06	80.80	94.31	53.28	57.64	53.00	141.20	97.41	126.00	56.27	47.80	51.98	51.56	40.51	85.33
"FBgn0011606"	19.98	26.45	30.07	27.75	26.46	26.11	3.32	1.95	3.34	14.29	14.96	16.45	17.24	22.47	27.65
"FBgn0011638"	142.78	130.34	122.49	149.24	136.25	151.57	5.20	4.80	4.48	110.73	106.09	101.01	92.33	135.25	89.38
"FBgn0011640"	94.22	96.92	111.96	125.55	123.11	136.58	129.57	125.53	128.05	93.81	98.91	96.38	107.47	88.78	102.36
"FBgn0011642"	104.45	92.22	87.14	108.43	110.86	100.96	145.03	175.39	136.92	139.53	113.56	128.30	85.11	81.72	102.83
"FBgn0011648"	68.06	80.78	87.17	71.56	75.97	72.53	144.72	122.29	129.86	67.69	62.01	59.74	66.74	49.77	84.41
"FBgn0011653"	0.00	0.00	0.00	0.02	0.00	0.05	0.00	0.02	0.04	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011655"	17.55	20.48	23.66	15.66	17.31	16.28	22.43	14.99	19.39	19.05	20.34	19.76	22.10	19.12	21.90
"FBgn0011656"	13.39	17.29	20.58	10.73	11.86	9.00	4.21	2.01	3.40	9.86	8.35	9.82	10.33	11.74	15.30
"FBgn0011659"	16.53	17.30	16.25	23.64	23.11	24.15	1.34	1.21	1.55	15.65	16.04	15.88	17.24	20.75	17.28
"FBgn0011660"	49.85	47.55	51.59	42.76	46.20	41.96	47.74	46.30	46.23	52.96	45.43	54.25	49.06	43.18	59.26
"FBgn0011661"	129.79	150.16	161.72	133.66	140.19	135.05	69.48	52.65	63.35	113.94	103.96	111.94	131.28	143.99	161.57
"FBgn0011666"	26.48	30.32	30.34	21.53	22.75	20.38	11.98	11.30	13.70	23.89	21.34	23.81	27.60	35.69	34.01
"FBgn0011668"	2.36	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.78	2.38	2.90	1.32	0.92	0.00
"FBgn0011669"	13.68	12.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.33	6.20	18.92	16.56	7.58	0.00
"FBgn0011670"	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.35	0.31	0.32	0.68	0.00
"FBgn0011672"	41.91	49.83	52.73	53.12	51.38	52.19	6.60	3.77	7.29	31.35	34.61	35.86	31.44	43.22	38.71
"FBgn0011674"	0.59	0.60	0.85	0.81	0.67	0.65	0.07	0.02	0.04	0.30	0.34	0.43	0.49	0.43	0.59
"FBgn0011676"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011692"	70.73	77.69	91.88	76.67	82.58	75.27	67.12	46.60	63.93	63.07	66.49	73.09	64.34	54.76	85.29
"FBgn0011693"	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00
"FBgn0011694"	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30	1.04	2.74	1.29	1.02	0.00
"FBgn0011695"	0.34	0.14	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.23
"FBgn0011701"	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011703"	277.14	292.56	290.90	280.64	288.17	296.15	90.31	69.04	89.91	242.30	232.21	278.09	219.92	229.64	282.31
"FBgn0011704"	259.63	242.70	195.79	345.97	311.80	358.16	12.11	8.94	11.78	242.89	230.21	254.47	304.55	352.92	301.47
"FBgn0011705"	168.46	150.89	139.45	151.75	152.62	148.35	129.72	137.30	134.74	164.13	163.56	162.66	140.39	147.83	116.66
"FBgn0011706"	0.00	0.00	0.00	0.00	0.20	0.71	0.00	0.10	0.29	0.00	0.09	0.25	0.18	0.00	0.00
"FBgn0011708"	92.51	84.44	84.66	116.15	114.54	117.18	35.16	29.38	32.34	92.92	97.20	102.24	109.44	99.87	106.76
"FBgn0011710"	100.00	111.92	119.76	108.79	104.72	109.48	188.16	160.45	163.39	103.64	96.53	84.81	86.45	62.22	109.31
"FBgn0011715"	205.50	181.70	176.24	231.06	229.67	240.92	272.86	294.17	284.60	223.06	235.75	237.56	218.91	196.61	190.55
"FBgn0011722"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011723"	0.00	0.00	0.00	0.02	0.04	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
"FBgn0011725"	120.98	123.34	146.39	120.99	130.99	122.69	43.25	27.12	38.30	114.61	102.45	117.05	120.67	98.46	148.88
"FBgn0011726"	3369.46	2970.17	2496.66	3107.11	3020.02	3167.44	4045.73	5092.23	4242.53	4100.47	4214.50	3837.50	3638.92	3705.13	2709.61
"FBgn0011737"	57.57	55.18	58.17	63.43	61.74	60.39	84.80	75.52	81.71	61.32	56.77	58.19	59.01	44.13	63.16
"FBgn0011739"	8.30	12.10	13.40	6.05	7.38	5.04	2.84	1.76	2.83	5.14	4.37	5.64	5.62	9.43	11.55
"FBgn0011740"	27.25	31.88	36.48	23.42	25.93	23.73	11.52	5.81	9.33	24.53	21.23	25.40	24.63	22.01	30.76
"FBgn0011741"	74.16	67.69	63.19	70.07	69.73	75.51	97.27	111.92	107.52	70.19	84.00	75.71	67.13	74.77	61.81
"FBgn0011742"	159.95	161.56	156.15	188.36	192.26	186.60	107.31	90.07	103.80	170.17	167.55	171.31	178.13	166.78	190.19
"FBgn0011743"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011745"	134.71	119.18	113.49	138.80	121.32	140.50	53.79	55.17	57.76	119.94	134.26	147.81	117.33	134.15	99.68
"FBgn0011746"	0.00	0.00	0.00	0.06	0.00	0.03	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
"FBgn0011747"	65.78	83.77	86.02	51.40	59.31	45.29	128.63	109.53	118.35	52.82	39.23	48.46	43.81	45.52	81.59
"FBgn0011754"	39.73	48.74	46.16	39.28	41.13	38.15	8.99	5.83	9.14	34.14	34.41	40.24	33.72	49.61	44.73
"FBgn0011758"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011760"	632.99	570.16	505.73	610.41	617.51	595.39	766.93	934.74	791.26	654.98	637.68	646.13	607.69	586.15	569.69
"FBgn0011761"	2946.54	2460.43	1757.87	3621.82	3359.04	3716.82	131.45	137.48	121.55	2626.48	2365.84	2140.81	2899.11	4097.08	2288.74
"FBgn0011762"	69.99	60.28	50.43	72.15	69.15	69.32	43.21	45.23	41.01	81.40	81.18	80.61	81.66	78.10	81.50
"FBgn0011763"	112.21	127.35	141.34	130.01	130.61	137.82	170.65	135.95	159.31	97.63	100.29	106.47	98.19	83.67	126.11
"FBgn0011766"	39.03	51.32	56.43	44.36	47.96	43.56	40.83	33.82	40.63	29.54	26.49	29.49	31.35	45.17	47.48
"FBgn0011768"	285.26	271.06	265.46	311.33	283.18	336.07	97.17	105.91	113.87	187.93	233.22	201.44	251.95	274.85	210.83
"FBgn0011769"	33.49	27.79	21.35	31.60	28.32	29.96	17.85	21.66	22.10	37.72	46.96	41.40	35.44	36.55	30.11
"FBgn0011770"	223.95	188.25	172.62	194.26	194.10	208.61	191.89	246.39	218.49	241.94	260.97	245.36	282.32	279.66	205.30
"FBgn0011771"	6.60	7.29	7.92	6.59	6.89	7.48	0.15	0.24	0.43	4.27	3.19	4.93	5.53	6.98	8.70
"FBgn0011774"	53.77	62.04	59.46	66.70	64.60	68.02	6.97	5.15	7.63	43.63	45.50	49.91	51.65	63.34	60.15
"FBgn0011785"	13.45	26.79	38.41	7.46	9.51	5.06	47.04	27.81	43.45	8.46	8.71	9.10	10.28	13.75	21.17
"FBgn0011787"	240.95	219.18	212.77	290.11	258.73	314.51	85.56	95.86	100.16	329.68	346.98	313.57	353.27	323.84	239.56
"FBgn0011802"	37.40	44.31	43.04	38.14	39.14	33.09	20.18	17.35	19.17	30.43	25.97	36.24	30.25	34.68	47.86
"FBgn0011812"	0.25	0.00	0.00	0.19	0.00	0.00	0.25	0.00	0.00	0.00	0.25	0.22	0.23	0.00	0.00
"FBgn0011817"	35.39	51.82	60.69	39.73	43.61	39.78	86.80	56.69	78.28	26.11	24.05	24.59	31.66	29.70	54.43
"FBgn0011818"	65.70	69.31	69.09	89.72	85.84	85.16	31.16	24.31	27.07	57.68	63.73	64.67	68.47	67.04	77.56
"FBgn0011822"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
"FBgn0011824"	70.78	89.35	88.44	80.45	79.95	86.21	127.79	154.59	147.59	63.95	77.17	63.84	77.63	108.53	74.84
"FBgn0011826"	37.54	48.07	51.53	43.13	45.42	38.58	7.64	4.74	7.75	29.98	27.78	32.65	36.14	45.91	45.90
"FBgn0011828"	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.01	0.00	0.00	0.00	0.00	0.01	0.00
"FBgn0011829"	0.00	0.01	0.00	0.00	0.02	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01
"FBgn0011832"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011834"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011836"	24.78	27.73	34.62	27.41	29.22	27.96	53.78	44.01	50.78	22.51	21.01	23.54	23.19	19.08	34.68
"FBgn0011837"	37.01	43.94	50.25	42.01	45.13	40.28	61.46	50.41	54.97	32.15	23.79	25.32	60.70	49.50	88.77
"FBgn0011840"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011844"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011845"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011848"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011849"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011850"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011851"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011852"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011853"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011854"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011855"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011858"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011859"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011860"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011861"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011862"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011863"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011864"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011865"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011866"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011867"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011868"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011869"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011870"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011871"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011872"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011877"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011878"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011879"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011880"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011881"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011882"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011883"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011884"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011885"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011887"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011888"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011889"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011890"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011891"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011892"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011893"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011894"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011895"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011896"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011897"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011902"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011904"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011905"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011906"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011909"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0011910"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
